Timestep,Sensitivity_Mean,Sensitivity_SD,Cumulative_Mean,Cumulative_SD
0,0.005098587,0.0047405614,0.0012548976,0.0009404423
1,0.008328383,0.007758334,0.0033047337,0.002459471
2,0.010053703,0.0075965053,0.005779217,0.0038964117
3,0.012946506,0.008150689,0.008965695,0.0052653374
4,0.01847137,0.011854341,0.013511989,0.0074338485
5,0.025160817,0.016773049,0.019704735,0.010640403
6,0.024657065,0.015812086,0.025773492,0.013624219
7,0.025227243,0.015896127,0.031982586,0.016579637
8,0.027400995,0.018174138,0.0387267,0.020097645
9,0.01987327,0.013767332,0.043618042,0.022731233
10,0.015844462,0.012660478,0.047517784,0.02503626
11,0.017819071,0.01486722,0.05190353,0.02776195
12,0.017477494,0.014646944,0.05620521,0.030456722
13,0.01897241,0.015225872,0.060874823,0.03327765
14,0.019759601,0.015794605,0.065738186,0.036165457
15,0.019562118,0.015076975,0.070552945,0.038922727
16,0.018380469,0.013705997,0.07507686,0.04143373
17,0.018492969,0.01315428,0.079628475,0.04384402
18,0.022573845,0.014918988,0.0851845,0.046546325
19,0.021613201,0.01441989,0.09050409,0.04912967
20,0.020526148,0.013133776,0.09555611,0.0513864
21,0.02629366,0.01484671,0.102027684,0.053777076
22,0.029097348,0.01582985,0.10918931,0.05619066
23,0.0337668,0.018958583,0.11750022,0.058998916
24,0.040233687,0.023095319,0.1274028,0.062288087
25,0.053462848,0.032446414,0.14056143,0.06677544
26,0.076369755,0.04740767,0.15935805,0.07335221
27,0.0948838,0.05588507,0.18271148,0.08127715
28,0.12681848,0.063853666,0.21392487,0.09013902
29,0.1673767,0.07323293,0.25512072,0.09949204
30,0.22854824,0.088895716,0.31137252,0.10915872
31,0.28451142,0.096414156,0.38139835,0.11641883
32,0.34206173,0.099075876,0.4655888,0.11892015
33,0.40509698,0.10904398,0.5652939,0.11740672
34,0.4232041,0.09276677,0.6694557,0.10868913
35,0.41626468,0.07081705,0.77190953,0.08990136
36,0.35935566,0.07004993,0.8603565,0.06575756
37,0.26073232,0.055473108,0.9245297,0.03906402
38,0.19056432,0.058956884,0.9714326,0.01603482
39,0.11606777,0.038365234,1.0,0.0
