seed,pool_drop_end,lstm_drop_end,pool_drop_ctrl,lstm_drop_ctrl
42,0.04800000000000004,0.33644444444444443,0.0011111111111111738,0.0
123,0.013333333333333308,0.3255555555555555,0.0020000000000000018,0.0
789,0.005333333333333412,0.35244444444444445,0.0033333333333334103,0.0
