noise_sigma,cnn_pooling_accuracy,cnn_lstm_accuracy
0.0,0.9293,0.9284
0.1,0.9289,0.9282
0.3,0.9216,0.9280
0.5,0.8738,0.9191
1.0,0.5844,0.8598
