Seed,Sequence_Length,Model,Epoch,Loss,Train_Accuracy,Early_Stop_Epoch,Best_Epoch,Final_Test_Accuracy
123,100,LSTM,40,0.365,0.8098,,,0.8326
123,100,LSTM,45,0.335,0.7955,,,0.8326
123,100,LSTM,50,0.3276,0.8114,,,0.8326
123,200,Pool,5,0.3443,0.8576,44.0,29.0,0.9
123,200,Pool,10,0.3168,0.8705,44.0,29.0,0.9
123,200,Pool,15,0.2901,0.8455,44.0,29.0,0.9
123,200,Pool,20,0.2732,0.8833,44.0,29.0,0.9
123,200,Pool,25,0.2581,0.8841,44.0,29.0,0.9
123,200,Pool,30,0.2598,0.8939,44.0,29.0,0.9
123,200,Pool,35,0.2456,0.8947,44.0,29.0,0.9
123,200,Pool,40,0.2437,0.8818,44.0,29.0,0.9
123,200,LSTM,5,0.6947,0.5159,44.0,29.0,0.8689
123,200,LSTM,10,0.66,0.6917,44.0,29.0,0.8689
123,200,LSTM,15,0.5105,0.7227,44.0,29.0,0.8689
123,200,LSTM,20,0.3757,0.8409,44.0,29.0,0.8689
123,200,LSTM,25,0.3506,0.8455,44.0,29.0,0.8689
123,200,LSTM,30,0.3083,0.8538,44.0,29.0,0.8689
123,200,LSTM,35,0.2797,0.8659,44.0,29.0,0.8689
123,200,LSTM,40,0.2723,0.8477,44.0,29.0,0.8689
123,300,Pool,5,0.3223,0.8803,39.0,24.0,0.9205
123,300,Pool,10,0.2991,0.8977,39.0,24.0,0.9205
123,300,Pool,15,0.2537,0.8833,39.0,24.0,0.9205
123,300,Pool,20,0.2406,0.9129,39.0,24.0,0.9205
123,300,Pool,25,0.225,0.9144,39.0,24.0,0.9205
123,300,Pool,30,0.2214,0.9205,39.0,24.0,0.9205
123,300,Pool,35,0.2064,0.9159,39.0,24.0,0.9205
123,300,LSTM,5,0.693,0.5159,39.0,24.0,0.7924
123,300,LSTM,10,0.6702,0.6826,39.0,24.0,0.7924
123,300,LSTM,15,0.5542,0.6947,39.0,24.0,0.7924
123,300,LSTM,20,0.5467,0.7114,39.0,24.0,0.7924
123,300,LSTM,25,0.5199,0.7174,39.0,24.0,0.7924
123,300,LSTM,30,0.5192,0.6917,39.0,24.0,0.7924
123,300,LSTM,35,0.5008,0.7189,39.0,24.0,0.7924
123,300,LSTM,40,0.5004,0.7235,39.0,24.0,0.7924
123,300,LSTM,45,0.4645,0.7705,39.0,24.0,0.7924
123,300,LSTM,50,0.4732,0.7341,39.0,24.0,0.7924
123,400,Pool,5,0.3014,0.872,17.0,2.0,0.9333
123,400,Pool,10,0.2874,0.8909,17.0,2.0,0.9333
123,400,Pool,15,0.2432,0.8879,17.0,2.0,0.9333
123,400,Pool,20,0.2293,0.9129,17.0,2.0,0.9333
123,400,Pool,25,0.2119,0.9136,17.0,2.0,0.9333
123,400,Pool,30,0.2059,0.9273,17.0,2.0,0.9333
123,400,Pool,35,0.1927,0.9273,17.0,2.0,0.9333
123,400,Pool,40,0.1861,0.9129,17.0,2.0,0.9333
123,400,Pool,45,0.1794,0.9288,17.0,2.0,0.9333
123,400,Pool,50,0.179,0.9061,17.0,2.0,0.9333
123,400,LSTM,5,0.6956,0.5159,17.0,2.0,0.6667
123,400,LSTM,10,0.693,0.5159,17.0,2.0,0.6667
123,400,LSTM,15,0.6934,0.5189,17.0,2.0,0.6667
123,500,Pool,5,0.2737,0.8955,,,0.9364
123,500,Pool,10,0.2722,0.8909,,,0.9364
123,500,Pool,15,0.2268,0.9045,,,0.9364
123,500,Pool,20,0.2177,0.9235,,,0.9364
123,500,Pool,25,0.203,0.9242,,,0.9364
123,500,Pool,30,0.1949,0.928,,,0.9364
123,500,Pool,35,0.18,0.925,,,0.9364
123,500,Pool,40,0.1743,0.9235,,,0.9364
123,500,Pool,45,0.1606,0.9364,,,0.9364
123,500,Pool,50,0.1639,0.9303,,,0.9364
123,500,LSTM,5,0.6987,0.4909,,,0.9152
123,500,LSTM,10,0.6931,0.4841,,,0.9152
123,500,LSTM,15,0.6934,0.5159,,,0.9152
123,500,LSTM,20,0.6368,0.7045,,,0.9152
123,500,LSTM,25,0.5163,0.7379,,,0.9152
123,500,LSTM,30,0.355,0.8417,,,0.9152
123,500,LSTM,35,0.2723,0.8985,,,0.9152
123,500,LSTM,40,0.2332,0.8894,,,0.9152
123,500,LSTM,45,0.2055,0.8841,,,0.9152
123,500,LSTM,50,0.1808,0.9152,,,0.9152
42,100,Pool,5,0.4128,0.7917,47.0,32.0,0.8394
42,100,Pool,10,0.3887,0.8167,47.0,32.0,0.8394
42,100,Pool,15,0.3684,0.8235,47.0,32.0,0.8394
42,100,Pool,20,0.3514,0.8318,47.0,32.0,0.8394
42,100,Pool,25,0.3405,0.8242,47.0,32.0,0.8394
42,100,Pool,30,0.3255,0.8379,47.0,32.0,0.8394
42,100,Pool,35,0.3129,0.8182,47.0,32.0,0.8394
42,100,Pool,40,0.3063,0.8205,47.0,32.0,0.8394
42,100,Pool,45,0.2921,0.8273,47.0,32.0,0.8394
42,100,LSTM,5,0.6795,0.6303,47.0,32.0,0.8136
42,100,LSTM,10,0.6936,0.5159,47.0,32.0,0.8136
42,100,LSTM,15,0.6774,0.4917,47.0,32.0,0.8136
