noise_sigma,cnn_pooling_accuracy,cnn_lstm_accuracy
0.0,0.9282,0.9307
0.1,0.9276,0.9309
0.3,0.9218,0.9273
0.5,0.8976,0.9167
1.0,0.7000,0.8907
