seed,acc_40,acc_140
0,0.862,0.9008888888888889
1,0.8417777777777777,0.8953333333333333
7,0.8493333333333334,0.906
13,0.8466666666666667,0.9282222222222222
21,0.8626666666666667,0.9075555555555556
42,0.8417777777777777,0.9026666666666666
99,0.8624444444444445,0.8988888888888888
123,0.8266666666666667,0.8991111111111111
256,0.8546666666666667,0.8957777777777778
789,0.8666666666666667,0.8962222222222223
